"strain"	"country"
"OM258630.1|1953"	"USA"
"KF289073.1|1956"	"India"
"KU050695.1|1956"	"Philippines"
"JQ922547.1|1960"	"Thailand"
"JF262783.1|1961"	"India"
"JQ922558.1|1962"	"India"
"JQ922544.1|1963"	"India"
"JQ922554.1|1963"	"USA"
"OK469357.1|1963"	"USA"
"OR389302.1|1963"	"Thailand"
"OR389310.1|1963"	"India"
"MW945844.1|1964"	"Thailand"
"GQ868591.1|1964"	"Thailand"
"KM190937.1|1964"	"Philippines"
"EF105388.1|1966"	"Nigeria"
"JQ922555.1|1966"	"India"
"OR389336.1|1966"	"India"
"OR389318.1|1969"	"Malaysia"
"EF105379.1|1970"	"Malaysia"
"OR389284.1|1970"	"India"
"JQ922546.1|1971"	"India"
"EF457905.1|1972"	"Malaysia"
"OK469355.1|1973"	"Myanmar"
"MW945636.1|1973"	"Indonesia"
"OR389042.1|1973"	"Malaysia"
"MW946478.1|1974"	"India"
"EF105385.1|1974"	"Senegal"
"GQ398263.1|1975"	"Indonesia"
"GQ398258.1|1975"	"Indonesia"
"JF262779.1|1975"	"Malaysia"
"EF457906.1|1975"	"Malaysia"
"OR389043.1|1975"	"Malaysia"
"OR389044.1|1975"	"Malaysia"
"OK469356.1|1976"	"Myanmar"
"OK469358.1|1976"	"Myanmar"
"KX812530.1|1976"	"Indonesia"
"GQ398257.1|1977"	"Indonesia"
"MW946955.1|1978"	"Indonesia"
"FJ196849.1|1978"	"China"
"JQ922559.1|1979"	"India"
"MW946138.1|1980"	"Thailand"
"OR389023.1|1980"	"Cote_D'Ivoire"
"AY732483.1|1981"	"Thailand"
"OK469346.1|1981"	"Jamaica"
"AY732481.1|1982"	"Thailand"
"JQ922545.1|1982"	"India"
"OK605753.1|1983"	"Australia"
"OQ061266.1|1983"	"Sri_Lanka"
"KJ737430.1|1983"	"Thailand"
"OK605769.1|1983"	"Senegal"
"KF955477.1|1984"	"India"
"OR389338.1|1984"	"Indonesia"
"GQ868601.1|1985"	"British_Virgin_Islands"
"DQ181803.1|1985"	"Thailand"
"OK469345.1|1985"	"Myanmar"
"OR389286.1|1985"	"India"
"OR389290.1|1985"	"Indonesia"
"JN638336.1|1986"	"Thailand"
"OR389273.1|1986"	"Brazil"
"GQ868603.1|1987"	"USA"
"OR389328.1|1987"	"Taiwan"
"OR389346.1|1987"	"El_Salvador"
"OK469347.1|1988"	"Palau"
"OK605760.1|1988"	"Philippines"
"MW946461.1|1988"	"Thailand"
"OR389275.1|1988"	"Colombia"
"OR389317.1|1988"	"Indonesia"
"OK469354.1|1989"	"Thailand"
"JN638337.1|1990"	"Thailand"
"JN638342.1|1990"	"Thailand"
"FJ898450.1|1990"	"USA"
"DQ181801.1|1990"	"Thailand"
"MW946691.1|1992"	"Fiji"
"FJ410184.1|1993"	"USA"
"OK469352.1|1993"	"Singapore"
"FJ882573.1|1993"	"Sri_Lanka"
"AB608789.1|1994"	"Taiwan"
"MW945926.1|1994"	"Thailand"
"MW945840.1|1994"	"Thailand"
"MW946369.1|1994"	"Thailand"
"MW946422.1|1994"	"Thailand"
"GQ398269.1|1994"	"USA"
"JX966379.1|1994"	"Mexico"
"FJ882576.1|1994"	"Nicaragua"
"MW945663.1|1994"	"Thailand"
"MW946203.1|1995"	"Thailand"
"MW946016.1|1995"	"Thailand"
"MW946014.1|1995"	"Thailand"
"MW945841.1|1995"	"Thailand"
"MW945829.1|1995"	"Thailand"
"KF955439.1|1995"	"USA"
"KY586675.1|1995"	"Thailand"
"MW946284.1|1995"	"Thailand"
"FJ898456.1|1995"	"Samoa"
"DQ675519.1|1995"	"Taiwan"
"KY586938.1|1995"	"Thailand"
"OK469362.1|1995"	"Singapore"
"MW946134.1|1996"	"Thailand"
"MW946093.1|1996"	"Thailand"
"MW946065.1|1996"	"Thailand"
"MW946420.1|1996"	"Thailand"
"KF744407.1|1996"	"Philippines"
"EU726775.1|1996"	"Venezuela"
"MW946575.1|1996"	"Peru"
"MW945619.1|1996"	"Thailand"
"MW946178.1|1997"	"Thailand"
"MW945835.1|1997"	"Thailand"
"FJ196847.1|1997"	"China"
"OK469342.1|1997"	"Malaysia"
"FJ639735.1|1997"	"Venezuela"
"OK605754.1|1997"	"Brazil"
"JX669469.1|1997"	"Brazil"
"OQ061315.1|1997"	"Sri_Lanka"
"MW946590.1|1997"	"Thailand"
"MW946551.1|1997"	"Thailand"
"MW946460.1|1997"	"Thailand"
"AY496879.2|1997"	"Philippines"
"MW946651.1|1997"	"Thailand"
"MW946924.1|1997"	"Thailand"
"MW945667.1|1997"	"Thailand"
"MW945806.1|1998"	"Thailand"
"KY586516.1|1998"	"Thailand"
"MW946160.1|1998"	"Thailand"
"KJ189303.1|1998"	"Colombia"
"GU056032.1|1998"	"Venezuela"
"KF955437.1|1998"	"USA"
"FJ390380.1|1998"	"USA"
"EU482567.1|1998"	"USA"
"KF955438.1|1998"	"USA"
"MW946509.1|1998"	"Thailand"
"KY586688.1|1998"	"Thailand"
"KF744399.1|1998"	"Philippines"
"EU687212.1|1998"	"USA"
"EU482545.1|1998"	"USA"
"MW946629.1|1998"	"Thailand"
"GQ199886.1|1998"	"Nicaragua"
"KY586945.1|1998"	"Thailand"
"KY586922.1|1998"	"Thailand"
"EU854296.1|1998"	"USA"
"JN819409.1|1998"	"Venezuela"
"MW945798.1|1999"	"Thailand"
"MW946069.1|1999"	"Thailand"
"MW946158.1|1999"	"Thailand"
"DQ181798.1|1999"	"Thailand"
"KY586690.1|1999"	"Thailand"
"MW946473.1|1999"	"Thailand"
"GQ868553.1|1999"	"Colombia"
"FM210217.1|1999"	"Vietnam"
"KF955461.1|1999"	"Cambodia"
"MW946819.1|1999"	"Thailand"
"MW946926.1|1999"	"Thailand"
"KY586777.1|1999"	"Thailand"
"DQ675533.1|1999"	"Taiwan"
"MW945493.1|1999"	"Thailand"
"MW945761.1|1999"	"Thailand"
"MW946219.1|2000"	"Thailand"
"KY586513.1|2000"	"Thailand"
"KY586686.1|2000"	"Thailand"
"KF744402.1|2000"	"Philippines"
"KF744400.1|2000"	"Philippines"
"FJ898478.1|2000"	"Nicaragua"
"FJ850118.1|2000"	"Nicaragua"
"FJ850119.1|2000"	"Nicaragua"
"KJ189305.1|2000"	"Colombia"
"MT921572.1|2000"	"Australia"
"KY586724.1|2000"	"Thailand"
"KY586721.1|2000"	"Thailand"
"FJ898457.1|2000"	"Ecuador"
"FJ850095.1|2000"	"Venezuela"
"OR389007.1|2000"	"Brazil"
"KY586366.1|2001"	"Thailand"
"JN819423.1|2001"	"Cambodia"
"KF955406.1|2001"	"Cambodia"
"GU131948.1|2001"	"Colombia"
"KF672764.1|2001"	"Brazil"
"FJ850073.1|2001"	"Brazil"
"AB519681.1|2001"	"Brazil"
"MW946279.1|2001"	"Thailand"
"KY586667.1|2001"	"Thailand"
"MW946428.1|2001"	"Thailand"
"KY586692.1|2001"	"Thailand"
"FJ744722.1|2001"	"Thailand"
"FJ687445.1|2001"	"Thailand"
"FJ639828.1|2001"	"Thailand"
"FJ687434.1|2001"	"Thailand"
"KF744397.1|2001"	"Philippines"
"MG599597.1|2001"	"Taiwan"
"MG599592.1|2001"	"Taiwan"
"DQ448231.2|2001"	"India"
"MW946718.1|2001"	"Thailand"
"FJ547081.1|2001"	"USA"
"KY586944.1|2001"	"Thailand"
"MW945621.1|2001"	"Thailand"
"KY586528.1|2002"	"Thailand"
"KY586530.1|2002"	"Thailand"
"KT827364.1|2002"	"China"
"KY586603.1|2002"	"Thailand"
"KY586678.1|2002"	"Thailand"
"MW946492.1|2002"	"Thailand"
"FM210227.1|2002"	"Vietnam"
"FJ639701.1|2002"	"Cambodia"
"MG599621.1|2002"	"Taiwan"
"MG599631.1|2002"	"Taiwan"
"MG599628.1|2002"	"Taiwan"
"AY496871.2|2002"	"Bangladesh"
"JX669491.1|2002"	"Brazil"
"KF955510.1|2002"	"Cambodia"
"KY586830.1|2002"	"Thailand"
"FJ469909.1|2003"	"Singapore"
"FJ469907.1|2003"	"Singapore"
"GQ868619.1|2003"	"Cambodia"
"MW945932.1|2003"	"Thailand"
"MW946067.1|2003"	"Thailand"
"MW946055.1|2003"	"Thailand"
"FJ639678.1|2003"	"Cambodia"
"EU482789.1|2003"	"Vietnam"
"MW946358.1|2003"	"Thailand"
"FJ639734.1|2003"	"Venezuela"
"FM210237.2|2003"	"Vietnam"
"FM210204.1|2003"	"Vietnam"
"KF921931.1|2003"	"Cambodia"
"FJ196853.1|2003"	"China"
"GQ252676.1|2003"	"Sri_Lanka"
"FJ639724.1|2003"	"Cambodia"
"MW946820.1|2003"	"Thailand"
"MW946753.1|2003"	"Thailand"
"MW946863.1|2003"	"Thailand"
"MW946876.1|2003"	"Thailand"
"FJ898440.1|2003"	"Mexico"
"OR389046.1|2003"	"Sri_Lanka"
"KY586396.1|2004"	"Thailand"
"MW945886.1|2004"	"Thailand"
"JQ287664.1|2004"	"Cambodia"
"KY586545.1|2004"	"Thailand"
"GQ868602.1|2004"	"Philippines"
"FJ639794.1|2004"	"Venezuela"
"GU131835.1|2004"	"Venezuela"
"KP406801.1|2004"	"South_Korea"
"MW946280.1|2004"	"Thailand"
"KY586595.1|2004"	"Thailand"
"MW946583.1|2004"	"Brazil"
"FJ024477.1|2004"	"Colombia"
"FM210243.2|2004"	"Vietnam"
"FM210222.1|2004"	"Vietnam"
"FM210241.2|2004"	"Vietnam"
"FM210202.1|2004"	"Vietnam"
"MT921573.1|2004"	"Australia"
"GQ252677.1|2004"	"Sri_Lanka"
"OR389029.1|2004"	"Sri_Lanka"
"OR389038.1|2004"	"Sri_Lanka"
"KJ189304.1|2005"	"Colombia"
"EU179860.1|2005"	"Brunei"
"JQ922548.1|2005"	"India"
"MW946517.1|2005"	"Thailand"
"MW946595.1|2005"	"Thailand"
"GQ868604.1|2005"	"Nicaragua"
"EU482751.1|2005"	"Nicaragua"
"EU482635.1|2005"	"Nicaragua"
"FJ906956.1|2005"	"Nicaragua"
"FJ850085.1|2005"	"Brazil"
"FM210235.2|2005"	"Vietnam"
"FM210213.1|2005"	"Vietnam"
"JN851130.1|2005"	"Singapore"
"KF744398.1|2005"	"Philippines"
"JN851131.1|2005"	"Singapore"
"JQ922551.1|2005"	"India"
"EU081210.1|2005"	"Singapore"
"EU081217.1|2005"	"Singapore"
"EU081225.1|2005"	"Singapore"
"EU081214.1|2005"	"Singapore"
"EU854292.1|2005"	"Venezuela"
"JQ922556.1|2005"	"India"
"MW945727.1|2005"	"Thailand"
"GQ398256.1|2005"	"Singapore"
"KY586333.1|2006"	"Thailand"
"MW946128.1|2006"	"Thailand"
"MW946221.1|2006"	"Thailand"
"KT827365.1|2006"	"China"
"EU482811.1|2006"	"Vietnam"
"MW945918.1|2006"	"Thailand"
"MW946070.1|2006"	"Thailand"
"KY586383.1|2006"	"Thailand"
"MW946105.1|2006"	"Thailand"
"KP406803.1|2006"	"South_Korea"
"EU179861.1|2006"	"Brunei"
"FJ639819.1|2006"	"Venezuela"
"GQ868564.1|2006"	"Colombia"
"JN819415.1|2006"	"Venezuela"
"KY586586.1|2006"	"Thailand"
"MW946313.1|2006"	"Thailand"
"EU482639.1|2006"	"Nicaragua"
"HQ332184.1|2006"	"Venezuela"
"FJ850088.1|2006"	"Brazil"
"EU482721.1|2006"	"USA"
"EU482449.1|2006"	"Vietnam"
"JN851113.1|2006"	"Singapore"
"EU179859.1|2006"	"Brunei"
"KU509271.1|2006"	"India"
"EU482456.1|2006"	"Vietnam"
"KY586706.1|2006"	"Thailand"
"KU509283.1|2006"	"Sri_Lanka"
"GU131850.1|2006"	"Brazil"
"KF041259.1|2006"	"Pakistan"
"KF041256.1|2006"	"Pakistan"
"KY586942.1|2006"	"Thailand"
"MW945504.1|2006"	"Thailand"
"MW945553.1|2006"	"Thailand"
"FJ882547.1|2007"	"Vietnam"
"HM181952.1|2007"	"Cambodia"
"HQ624983.1|2007"	"Cambodia"
"JF937649.1|2007"	"Vietnam"
"GQ199775.1|2007"	"Vietnam"
"GQ868568.1|2007"	"Colombia"
"KF955424.1|2007"	"Mexico"
"FJ850090.1|2007"	"Brazil"
"JN368476.1|2007"	"Cambodia"
"EU482607.1|2007"	"Venezuela"
"JF295012.1|2007"	"Cambodia"
"KF955506.1|2007"	"Cambodia"
"KY586818.1|2007"	"Thailand"
"LT996904.1|2007"	"Malaysia"
"GQ868578.1|2007"	"Colombia"
"KF955503.1|2007"	"Brazil"
"GU131876.1|2007"	"Brazil"
"GU131872.1|2007"	"Brazil"
"GU131861.1|2007"	"Brazil"
"GU131870.1|2007"	"Brazil"
"OK605762.1|2007"	"Paraguay"
"FJ644564.1|2007"	"India"
"KF041255.1|2007"	"Pakistan"
"HQ332174.1|2007"	"Venezuela"
"HQ332176.1|2007"	"Venezuela"
"KY586334.1|2008"	"Thailand"
"GU131678.1|2008"	"Vietnam"
"KU509260.1|2008"	"Cambodia"
"GU131824.1|2008"	"Vietnam"
"FJ410230.1|2008"	"Vietnam"
"GU131753.1|2008"	"Vietnam"
"GQ868570.1|2008"	"Colombia"
"GU131924.1|2008"	"Cambodia"
"KF041236.1|2008"	"Pakistan"
"KU509279.1|2008"	"Philippines"
"HM631854.1|2008"	"Cambodia"
"GU131903.1|2008"	"Cambodia"
"FJ639715.1|2008"	"Cambodia"
"KY586704.1|2008"	"Thailand"
"KY586702.1|2008"	"Thailand"
"FJ898475.1|2008"	"Nicaragua"
"GQ466079.1|2008"	"India"
"JN638572.1|2008"	"Cambodia"
"MW945653.1|2008"	"Thailand"
"MW945664.1|2008"	"Myanmar"
"OR389037.1|2008"	"Saint_Kitts_and_Nevis"
"JF960211.2|2009"	"Singapore"
"HQ999999.1|2009"	"Guatemala"
"HQ705624.1|2009"	"Nicaragua"
"JF327392.1|2009"	"Singapore"
"KY586700.1|2009"	"Thailand"
"MW512356.1|2009"	"Singapore"
"KU509269.1|2009"	"Philippines"
"KF955335.1|2009"	"Nicaragua"
"KF041260.1|2009"	"Pakistan"
"JQ922560.1|2009"	"India"
"KU509287.1|2009"	"India"
"OR389025.1|2009"	"Malaysia"
"MW946075.1|2010"	"Thailand"
"KU509258.1|2010"	"Eritrea"
"KU509261.1|2010"	"Indonesia"
"MW946053.1|2010"	"Bolivia"
"KJ189363.1|2010"	"USA"
"KJ189360.1|2010"	"USA"
"KJ189362.1|2010"	"USA"
"KJ189366.1|2010"	"USA"
"KU509252.1|2010"	"Venezuela"
"MW946367.1|2010"	"Thailand"
"KM279608.1|2010"	"Singapore"
"JX470186.1|2010"	"China"
"KU509277.1|2010"	"Philippines"
"KY586821.1|2010"	"Thailand"
"MW945498.1|2010"	"Thailand"
"KU509288.1|2010"	"Indonesia"
"KP723482.1|2010"	"China"
"MT597439.1|2010"	"South_Korea"
"MW945936.1|2011"	"Thailand"
"KT827369.1|2011"	"China"
"OK040060.1|2011"	"Somalia"
"KF672760.1|2011"	"Brazil"
"MN448920.1|2011"	"Thailand"
"MW946510.1|2011"	"Thailand"
"MW946554.1|2011"	"Thailand"
"MW946386.1|2011"	"Thailand"
"MW946602.1|2011"	"Thailand"
"MW512366.1|2011"	"Singapore"
"MW512369.1|2011"	"Singapore"
"MW512364.1|2011"	"Singapore"
"JQ955624.1|2011"	"India"
"KU509280.1|2011"	"Thailand"
"MW946664.1|2011"	"Thailand"
"KU509286.1|2011"	"India"
"KY057367.1|2012"	"Indonesia"
"KY057369.1|2012"	"Indonesia"
"MW945833.1|2012"	"Thailand"
"MT832039.1|2012"	"Philippines"
"MT832038.1|2012"	"Philippines"
"MG877553.1|2012"	"Haiti"
"KJ189354.1|2012"	"USA"
"KU509249.1|2012"	"Jamaica"
"MH822959.2|2012"	"India"
"MG877557.1|2012"	"Gabon"
"KX380808.1|2012"	"Singapore"
"KX380822.1|2012"	"Singapore"
"KX380810.1|2012"	"Singapore"
"KX380819.1|2012"	"Singapore"
"MW512378.1|2012"	"Singapore"
"MW512377.1|2012"	"Singapore"
"KX380821.1|2012"	"Singapore"
"KX380841.1|2012"	"Singapore"
"MW945637.1|2012"	"Thailand"
"PP695350.1|2012"	"Saint_Vincent_and_the_Grenadines"
"MW945860.1|2013"	"Thailand"
"MT832046.1|2013"	"Philippines"
"MZ008453.1|2013"	"Nicaragua"
"KJ806950.2|2013"	"Singapore"
"MW512400.1|2013"	"Singapore"
"MW512403.1|2013"	"Singapore"
"MW512406.1|2013"	"Singapore"
"KX380836.1|2013"	"Singapore"
"KR779786.2|2013"	"Singapore"
"MW512391.1|2013"	"Singapore"
"MZ008474.1|2013"	"Nicaragua"
"MZ008472.1|2013"	"Nicaragua"
"MW945533.1|2013"	"Thailand"
"MW946238.1|2014"	"Thailand"
"KY474307.1|2014"	"Ecuador"
"KY474306.1|2014"	"Ecuador"
"MZ008452.1|2014"	"Nicaragua"
"KR919820.1|2014"	"Brunei"
"KY474316.1|2014"	"Ecuador"
"MW512428.1|2014"	"Singapore"
"MW512430.1|2014"	"Singapore"
"MW512414.1|2014"	"Singapore"
"KT187558.1|2014"	"China"
"KT187554.1|2014"	"China"
"KT187557.1|2014"	"China"
"KT187553.1|2014"	"China"
"MW512415.1|2014"	"Singapore"
"MZ857214.1|2014"	"Tanzania"
"MW512432.1|2014"	"Singapore"
"MH822940.1|2014"	"India"
"MW512412.1|2014"	"Singapore"
"MG560144.1|2014"	"India"
"MG560143.1|2014"	"India"
"KY474335.1|2014"	"Ecuador"
"MG840544.1|2015"	"China"
"MT832033.1|2015"	"Philippines"
"MW512447.1|2015"	"Singapore"
"KX655788.1|2015"	"China"
"MT832057.1|2015"	"Philippines"
"KY937188.1|2015"	"China"
"KX274130.1|2015"	"Australia"
"OQ603311.1|2015"	"Colombia"
"OQ603310.1|2015"	"Colombia"
"MG840570.1|2016"	"China"
"MH921567.1|2016"	"Australia"
"MG721063.2|2016"	"India"
"MW512452.1|2016"	"Singapore"
"MW512463.1|2016"	"Singapore"
"MW512465.1|2016"	"Singapore"
"MF043956.1|2016"	"China"
"MH823209.1|2016"	"Indonesia"
"MG721064.1|2016"	"India"
"MG272272.1|2016"	"India"
"MG840578.1|2017"	"China"
"LC428075.1|2017"	"Vietnam"
"MH827526.1|2017"	"China"
"MH827534.1|2017"	"China"
"MZ857221.1|2017"	"Uganda"
"OK040058.1|2017"	"Borneo"
"ON123661.1|2018"	"India"
"MK783204.1|2018"	"China"
"MW512480.1|2018"	"Singapore"
"MK783205.1|2018"	"China"
"MK783209.1|2018"	"China"
"OP310806.1|2018"	"India"
"OP895705.1|2018"	"India"
"ON123669.1|2018"	"India"
"OP984198.1|2018"	"India"
"ON799266.1|2019"	"India"
"OP310807.1|2019"	"India"
"ON123650.1|2020"	"India"
"ON123651.1|2020"	"India"
"ON123652.1|2020"	"India"
"ON123649.1|2020"	"India"
"ON109597.1|2021"	"India"
"OP809592.1|2021"	"India"
"EHIE21409Y22|2022"	"Singapore"
"KR011349.2|1956-08-28"	"Philippines"
"MZ857226.1|1991-09-17"	"Thailand"
"JQ920480.1|1996-09-04"	"French_Polynesia"
"JQ920485.1|1996-10-21"	"New_Caledonia"
"JQ920486.1|1996-11-18"	"New_Caledonia"
"MN589880.1|1999-04-09"	"Brazil"
"JN697056.1|2005-01-01"	"Malaysia"
"MZ215848.1|2007-05-21"	"Malaysia"
"KC762696.1|2007-08-13"	"Indonesia"
"KC762655.1|2007-09-27"	"Indonesia"
"KC762651.1|2007-12-11"	"Indonesia"
"KC762620.1|2007-12-13"	"Indonesia"
"KC762621.1|2008-02-15"	"Indonesia"
"KC762631.1|2008-02-15"	"Indonesia"
"KC762671.1|2008-02-19"	"Indonesia"
"JQ915085.1|2008-02-20"	"New_Caledonia"
"KC762675.1|2008-03-08"	"Indonesia"
"KC762673.1|2008-03-11"	"Indonesia"
"KC762629.1|2008-03-15"	"Indonesia"
"KC762699.1|2008-03-28"	"Indonesia"
"KC762627.1|2008-04-17"	"Indonesia"
"PP815633.1|2008-04-22"	"Spain"
"KC762698.1|2008-04-30"	"Indonesia"
"KC294201.1|2009-02-13"	"Peru"
"JQ915076.1|2009-06-09"	"French_Polynesia"
"LC367234.1|2009-10-08"	"India"
"KY849765.1|2009-11-06"	"Lao"
"ON038484.1|2009-12-14"	"Thailand"
"KC762647.1|2010-03-03"	"Indonesia"
"KC762680.1|2010-04-05"	"Indonesia"
"KY794785.1|2010-05-11"	"Papua_New_Guinea"
"MN448959.1|2010-06-23"	"Thailand"
"KY849723.1|2010-07-06"	"Lao"
"JN559741.2|2010-07-21"	"Brazil"
"MN448635.1|2010-08-03"	"Thailand"
"KY849768.1|2010-08-13"	"Lao"
"MH450310.1|2010-08-31"	"Venezuela"
"KY427084.1|2010-09-01"	"India"
"MN448904.1|2010-09-15"	"Thailand"
"JF741967.1|2010-09-26"	"China"
"OM417338.1|2010-10-27"	"Mexico"
"KF360005.1|2010-11-01"	"Pakistan"
"KY427085.1|2011-01-03"	"India"
"ON038487.1|2011-06-09"	"Thailand"
"MN448881.1|2011-06-23"	"Thailand"
"MN448787.1|2011-07-21"	"Thailand"
"MN448874.1|2011-09-20"	"Thailand"
"MN448883.1|2011-09-23"	"Thailand"
"MN448725.1|2011-09-26"	"Thailand"
"OM417339.1|2011-10-10"	"Mexico"
"PP269464.1|2011-12-07"	"Vietnam"
"MN448990.1|2011-12-27"	"Thailand"
"PP269950.1|2012-01-05"	"Vietnam"
"KC759167.1|2012-01-09"	"China"
"PP269947.1|2012-01-30"	"Vietnam"
"PP269522.1|2012-03-21"	"Vietnam"
"MW265693.1|2012-04-28"	"New_Caledonia"
"MW265694.1|2012-05-16"	"New_Caledonia"
"MN448821.1|2012-06-07"	"Thailand"
"MN449006.1|2012-07-16"	"Thailand"
"MN448775.1|2012-08-06"	"Thailand"
"MN448776.1|2012-09-10"	"Thailand"
"MN448839.1|2012-09-11"	"Thailand"
"PP269973.1|2012-09-13"	"Vietnam"
"PP269951.1|2012-09-17"	"Vietnam"
"MN448702.1|2012-09-24"	"Thailand"
"MN448692.1|2012-10-01"	"Thailand"
"MN448742.1|2012-10-02"	"Thailand"
"MF004386.1|2012-10-04"	"Malaysia"
"MN448727.1|2012-10-11"	"Thailand"
"MN448699.1|2012-11-13"	"Thailand"
"PP269476.1|2012-11-15"	"Vietnam"
"ON038490.1|2012-11-26"	"Thailand"
"MH888334.1|2013-01-04"	"Malaysia"
"KU517845.1|2013-04-23"	"Papua_New_Guinea"
"OQ603260.1|2013-06-18"	"Colombia"
"PP320854.1|2013-07-03"	"France"
"MF682971.1|2013-07-22"	"China"
"OM833059.1|2013-07-24"	"USA"
"OQ821648.1|2013-08-14"	"Puerto_Rico"
"OQ821647.1|2013-08-18"	"Puerto_Rico"
"KF971870.1|2013-08-23"	"China"
"OQ821377.1|2013-08-29"	"USA"
"MH822941.1|2013-08-30"	"India"
"PP269626.1|2013-09-06"	"Vietnam"
"PP270018.1|2013-09-06"	"Vietnam"
"MF459663.3|2013-09-09"	"China"
"OQ603316.1|2013-09-18"	"Colombia"
"OQ821354.1|2013-09-21"	"Dominican_Republic"
"KJ010186.1|2013-10-02"	"Pakistan"
"OQ821472.1|2014-01-12"	"Dominican_Republic"
"KJ830750.1|2014-01-13"	"Saudi_Arabia"
"KJ830751.1|2014-01-26"	"Saudi_Arabia"
"OQ821495.1|2014-02-09"	"Puerto_Rico"
"OQ567774.1|2014-02-27"	"Paraguay"
"KU517846.1|2014-05-07"	"Indonesia"
"MN933654.1|2014-07-24"	"China"
"KT424097.1|2014-08-28"	"Thailand"
"KT276273.1|2014-09-08"	"Haiti"
"MN933656.1|2014-09-23"	"China"
"MN018356.1|2014-09-23"	"China"
"PP269864.1|2014-10-09"	"Vietnam"
"MW377899.1|2014-12-10"	"Brazil"
"PP269662.1|2015-01-07"	"Vietnam"
"ON714337.1|2015-01-29"	"Venezuela"
"MN462633.1|2015-04-28"	"Ecuador"
"MN018349.1|2015-05-09"	"China"
"PP530058.1|2015-05-12"	"Brazil"
"OQ567778.1|2015-05-13"	"Paraguay"
"MN018351.1|2015-05-17"	"China"
"MN462636.1|2015-05-27"	"Ecuador"
"PP269610.1|2015-05-28"	"Vietnam"
"MN018370.1|2015-07-24"	"China"
"MN018391.1|2015-08-20"	"China"
"PP269977.1|2015-08-24"	"Vietnam"
